,Country/ Territory,Legislative/ Judicial basis for gender recognition,Type & authority to determine application,"Minimum age
",Citizenship/Residency,"Marital status exclusion
",Parental status exclusion,"Medical diagnosis e.g. gender dysphoria, GID etc",Real life test,Intention to live in the opposite gender,"Hormonal treatment
",Physical adaptation (incl non-genital surgery),Genital surgery leading to sterilization,"Official documents etc, affected",Recognition of foreign GRS/ medical intervention/ foreign gender recognition,Scope of gender recognition
Asia Pacific ,,,,,,,,,,,,,,,,
1,Australia – Capital Territory,"Births, Deaths, and Marriages Registration Amendment Act (current version effective since 29.08.2016)
&
Guidelines on the Recognition of Sex and Gender published on 01.07.2013","(Admin)
Registrar of Births Deaths and Marriage","✗
(diff evidence required from adult and child)
","✓
(birth registered in the Capital Territory)",,,,,"
","Unclear
(appropriate clinical treatment required)","Unclear
(appropriate clinical treatment required)","✗
",Sex record in  registration of  birth & other government records & new birth certificate,"Unclear
","(Apparently)
for all legal purposes
(following change of sex record in the registration of birth & other government records & issuance of new birth certificate)"
2.	\,Australia – Northern Territory,"Births, Deaths and Marriages Registration Act (current version in force since 01.01.2015)","(Admin)
Registrar of Births, Deaths and Marriages","✗
(diff evidence required from adult and child)","✓
(birth registered in the Northern Territory)","✓
",,,,,,,"✓
(sex reassignment surgery)",Particulars of the change of sex in the Register & new birth certificate,"Unclear
","(Apparently)
for all legal purposes
(following change of sex in the Register & issuance of new birth certificate)"
3,Australia – New South Wales,"Births, Deaths and Marriages Registration Act 1995 (current version in force since 04.05.2016)","(Admin)
Registrar of Births, Deaths and Marriages","✗
(diff evidence required from adult and child)","✓
(Aus citizen or permanent resident or living in NSW for 12 mths or born overseas)","✓
",,,,,,,"✓
(sex affirmation procedure)",Record of the person's sex in registration of birth & new birth certificate,"Unclear
","(Apparently)
for all legal purposes
(following change of sex record in the registration of birth & issuance of new birth certificate)"
4,Australia – Queensland,"Births, Deaths and Marriages Registration Act 2003 (current version in force since 22.03.2016)","(Admin)
Registrar of Births, Deaths and Marriages","✗
(diff evidence required from adult and child)","
","✓
",,,,,,,"✓
(sexual reassignment surgery)",Sex entry in register of births & new birth certificate,"Unclear
","Expressly 
for all legal purposes (following change of sex entry in the register of births & issuance of new birth certificate)"
5,Australia – South Australia,"Births, Deaths and Marriages Registration Act 1996 (current version in force since 23.05.2017)","(Admin)
Registrar for Births, Deaths and Marriages","✗
(Court’s approval for child applicant)","✓
(birth registered in South Aus or being a resident for 12 consecutive months)","✗
",,"Unclear
(clinical treatment that may include or be constituted by counselling)",,,,,"✗
(sufficient amount of appropriate clinical treatment which need not involve invasive medical treatment)",Entry about the change of the person's sex or gender identity in the Register or an identity acknowledgement certificate (for applicant born outside Australia),"✓
","Expressly
for all legal purposes
(following change of sex entry in the Register or & issuance of identity acknowledgement certificate)"
6,Australia – Tasmania,"Births, Deaths and Marriages Registration Act 1999 (current version in force since 01.07.2010)","(Admin)
Registrar of Births, Deaths and Marriages","✓
(18 yrs)","✓
(birth registered in Tasmania)","✓
",,,,,,,"✓
(sex reassignment surgery)",Sex entry in the register of births & new birth certificate,"Unclear
","(Apparently)
for all legal purposes
(following change of sex entry in the register of births & issuance of new birth certificate)"
7,Australia – Victoria,"Births, Deaths and Marriages Registration  Act 1996 (current version in force since 01.03.2017)","(Admin)
Registrar of Births, Deaths and Marriages","✗
(diff evidence required from adult and child)","✓
(birth registered in Victoria)","✓
",,,,,,,"✓
(sex affirmation surgery)",Record of the person's sex in the person's birth registration & new birth certificate,Unclear ,"(Apparently)
for all legal purposes
(following change of sex record in birth registration & issuance of new birth certificate)"
8,Australia – Western Australia,Gender Reassignment Act 2000 (current version in force since 06.12.2013),"(Admin)
Gender Reassignment Board consisting of members from legal & medical fields & a post-SRS person & a person with experience in equal opportunity matters","✗
(diff evidence required from adult and child)","✓
(birth registered in Western Aus)","✓
","
","Unclear
(proper counselling)","Unclear
(has adopted lifestyle of another sex)
",,,"✓
(has gender characteristics of the sex reassigned)
","✗
(according to court decision)",New birth certificate,"✓
(reassigne- -nt procedure carried out overseas)","(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
9,India,Supreme Court’s decisions (12.12.2013 & 15.04.2014),"(Judicial)
Supreme Court of India",,,,,"✓
(psychological test)",,,✗,,✗,"Passport, ration card, driver’s license etc.",Unclear,Unclear
10,Japan,Law No. 111 as revised by Law No. 70 in June 2008,"(Judicial)
Family Courts","✓ 
(20 yrs)","✓
(people with info in family registry (Koseki))
","✓
","✓
(must have no children under 20)","✓
(gender identity disorder)",,,,,"✓
",Sex entry in family registry (Koseki),Unclear ,"Expressly 
for all legal purposes
(following change of sex entry in Koseki)  "
11,Mainland China,Official Reply on the Relevant Questions of Post-Operative Transsexual Citizens Changing the Sex Entry in Household Registration issued on 23.10.2008,(Admin) Local Municipal Public security authority ,"✓ 
(21 yrs)
(but minors in Shanxi province are allowed since 2014)","✓
(citizen)
","✓
",,"✓
(gender identity disorder & psychiatric/ psychological counseling for 1 yr)","
","✓
(for 5 yrs)","
","
","✓
(sex reassignment surgery resulting in removal of original sex organs, reconstruction of external sex organs & secondary sexual characteristics of new gender)",Household Registration (Hukou) and identity card,"✓
(foreign SRS accepted in Henan province, unclear for other provinces)
","(Apparently)
for all legal purposes 
(following change of Hukou and identity card)"
12,New Zealand,"Births, Deaths, Marriages and Relationship Registration Act 1995, Part 5 (ss 27A to 33) and  s 64","(Judicial)
Family Court","✗
(diff requirements between adult and child)","✓ 
(birth registered or registrable in NZ or NZ citizen or permanent resident)","✗
(removal of marital status exclusion in Aug 2013)",,,,"✓ 
(intention to maintain gender identity of person of nominated sex)","Unclear
(“sexual reassignment” & “physical conformation” to be determined by medical experts)","Unclear
(“sexual reassignment” & “physical conformation” to be determined by medical experts)","✗
(pursuant to court decision in June 2008)",New birth certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate) except with passports and the driver licence register"
13,Singapore,(A)  National Registration Regulations 1991 – Reg 10,"(Admin)
Registration officer 



","✗ 
 
",,"


",,,,,,"(sex reassignment procedure required, extent unclear)","(sex reassignment procedure required, extent unclear)",National Registration Identity card (NRIC)),"Unclear
","Limited purposes applicable to NRIC (following issuance of new NRIC)
"
,,1.	(B)  Women’s Charter 1996 – s 12,"(Admin)
Registrar of Marriages","✓ 
(16 yrs)",,,,,,,,"(sex reassignment procedure required, extent unclear)","(sex reassignment procedure required, extent unclear)",Marriage certificate,"Unclear
",For purposes of marriage 
14.	\\\\\\,South Korea,"Family Registration Regulation as amended in January 2010 
&
Seoul Western District Court’s ruling   (15.03.2013)","(Judicial)
Local courts","✓ 
(20 yrs)","Unclear
(people with info on gov database)","✓
","✓
(must have no children)","✓
(long- -term psychiatric treatment)",,,,,"✗
",Information on government database,"Unclear
","(Apparently) for all legal purposes
(following change of information on government database)"
15,Taiwan,administrative order (documented No. 0970066240) issued by the Ministry of the Interior in 2008,(Admin) Household Registration Bureau ,,"✓
(Taiwan citizen)",,,"✓
(certification by two psychiatrists with diagnosis of GID or gender dysphoria)",,,,,"✓
(removal of all relevant sexual organs)",Household Registration Certificates and National Identification Cards,"Unclear
","(Apparently) for all legal purposes
(following issuance of new identity card)"
16,Vietnam,Legislation (title unknown yet) passed on 24 November 2015 and to take effect in early 2017,"(Admin)
Authority to be confirmed",,,,,,,,,,"✓
 (gender reassignment)",Registry of civil status,Unclear,(Apparently) for all legal purposes (following change of civil status)
Europe,,,,,,,,,,,,,,,,
17,Austria,"Austrian Civil Status Law (Personenstandsgesetz – PstG) ss 16 & 19
&
Administrative Court decisions in 2006 & 2009","(Admin)
Birth registrar","✗
","✓
(birth registered in Austria)","✗
(court decision in 2006)",,"✓
(gender identity change verified by psychologist or psychother-apeutist)",,,"✗
","✗
","✗
",Amended birth certificate and/or marriage certificate and or new personal documents (e.g. passport),Unclear,"(Apparently)
for all legal purposes
(following issuance of amended birth certificate or new personal documents)"
18,Belgium,"Belgian Civil Code, 
Law reforming regimes relating to transgender persons as regards the mention of a change in the registration of sex in civil status documents and its effects","(Admin)
Local registrar of vital statistics and Public Prosecutor ","✓
(not available for children aged 12 or under; parental authorization and approval of a psychiatrist needed for children between 16 and 18)",,,,"✗
",,"✓
",,,"✗
", Amended birth certificate,"Unclear 
","(Apparently)
for all legal purposes
(following change of entry in the register of birth)"
19,Bulgaria,No specific legislation or procedure regulating gender recognition,"(Judicial)
Court",,,"✓
(gender change leads to divorce)",,"✓
(Medical diagnosis or psychological opinion)",,,"✗
","✗
","✗
",New birth certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
20,Croatia,"State Registries Law (amended in June 2013), Articles 9 & 36","(Admin)
Ministry of Health","✗
",,"✓
",,"✓
(change of sex or life in a different gender identity)",,,"✗
","✗
","✗
",Amended birth certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of amended birth certificate)"
21,(Republic of) Cyprus,"Civil Registry Law
(2002)","(Admin)
Permanent Secretary of the Ministry of Interior","✓
(not available for minors i.e. below 17 yrs)",,"✓
",,"✓
(medical diagnosis or psychological opinion)",,,,,"✓
","New passport, identity card and electoral identity booklet",Unclear,"(Apparently)
for all legal purposes
(following issuance of new passport, identity card and electoral identity booklet)"
22,Czech Republic,"Civil Code no. 89/2012 Coll
(took effect on 01.01.2014)","(Admin)
Local registry office","✓
(not available for minors i.e. below 18 yrs)",,"✓
",,"✓
(medical diagnosis or psychological opinion)",,,,,"✓
",new birth certificate or a personal identification number (called a Birth Number),Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate and Birth Number)"
23,Denmark,"Lovforslag L 182 and L 189
(passed on 11.06.2014)","(Admin)
Relevant authority","✓
(18 yrs)",,,,"✗
","✗
","✗
","✗
","✗
","✗
","CPR number, National Health Card and other personal documents including passports, birth certificates and social security numbers",Unclear,"(Apparently)
for all legal purposes
(following update of personal documents)"
24,Estonia,General Requirements on Medical Procedures for the Change of Gender issued by the Minister for Social Affairs (07.05.1999),"(Admin)
Medical expert committee appointed by Ministry for Social Affairs ","✓
(not available for minors i.e below 18 yrs)",,"✗
",,"✓
(transsexuality)",,,,,"✗
",New birth certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
25,Finland,"The Act on the Recognition of the Sex of Transsexual Individuals
(took effect on 01.01.2003)
&
Ministry of Social Affairs and Health Decree 1053/2002","(Admin)
Local register office (Maistraatti)","✓
(18 yrs)","✓
(citizen or resident)","✓
unless consent by spouse or partner",,"✓
(permanently experiences being a member of the opposite sex)","✓
(6 to 12 months)",,"✓
",,"✓
",New personal identification code,Unclear,"(Apparently)
for all legal purposes
(following acquisition of new personal identification code)"
26,"France 
","Civil Code
","(Judicial)
High Court  
","✓
(depends on whether the minor concerned is an “emancipated minor”)",,✗,,"✗
",,,✗,,✗,"Civil status record
","Unclear 
","(Apparently)
for all legal purposes
(following modification of civil status)
"
27,Germany,"The Law on Transsexuals of  (10.09.1980) 
&
Personal Status Law
(01.11.2013)
&
German Constitutional Court decisions (1982, 2008, 2011)","(Judicial)
Court",✗,"✓
(national, resident, persons with rights of asylum or refugees domicile & foreigner with indefinite rights of residence or renewable residence permit
& foreigner presenting in Germany lawfully and not merely temporarily)",✗,,"✓
(psychiatric diagnosis based on ICD-10)","✓
(3 yrs)","✓
",,"✗
","✗
",New birth certificate,"✓
(limited to foreign nationals if the law in their country of nationality does not contain provisions comparable to the German Transsexual Act and the foreign national has legal status under German immigration law)","(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
28,Greece,Court decisions,"(Judicial)
Court","✓
(18 yrs)",,,,"✓
(psychologicalhermaphro-ditism or predisposition towards the other sex)",,,,,"✗
",Identity papers & birth certificates,Unclear,"(Apparently)
for all legal purposes
(following issuance of new identity papers & birth certificate)"
29,Hungary,Civil Code (took effect in 2009),"(Admin)
Ministry of Health",,,"✓
",,"✓
(gender identity confirmed by psychiatristpsychologistgynaecologist or urologist)",,,"✗
","✗
","✗
","Gender entry in the birth registry, passport, driver’s licence",Unclear,"(Apparently)
for all legal purposes
(following change of gender entry in the birth registry)"
30,Iceland ,"Law on legal status of individuals with Gender Identity Disorder 
(2012)",(Admin) Minister appointed expert committee on GID,"✓
(legal age i.e. 18 yrs)","✓
(birth registered in Iceland)",✗,✗,"✓
(GID)","✓
(Treatment of min 18 months whereof 12 months in the opposite gender role)","

",,,✗,New social security number and ID card,Unclear,"Expressly
for all legal purposes
(following issuance of new social security number and ID card)"
31,Ireland,"Gender Recognition 
Act (2015)","(Admin)
Minister for Social Protection","✓
(18 yrs)
(diff evidence required for children of 16 and 17 yrs old)","✓
(birth registered in Ireland or foreign births entry book or foreign births register or ordinary residence)", ✗,✗,✗,✗,"✓
(“settled and solemn intention”)",✗,✗,✗,Correction of register of births and identification documents following issuance of gender recognition certificate,"✓
(foreign jurisdiction with gender recognition requirement equivalent to the Irish requirements regarding self- declaration)","(Apparently)
for all legal purposes
(following issuance of gender recognition certificate)"
32,Italy,"Rules concerning rectification of sexual attributes (Norme in materia di rettificazione di attribuzione di sesso)
(14.08.1982) Articles 3, 4, 5","(Judicial & Admin)
Court","✓
(not available for minors i.e. below 18 yrs)",Italian residents (court decisions),✗ (court decision of April 2015),,"✓
(psycho- physical condition subject to court decision)",,,,,"✗ 
(court ruling in July 2015)","Personal records and documents, birth certificate",Unclear,"Expressly
for all legal purposes
(following change of civil status documents)"
33,Latvia,"Law on Sexual and Reproductive Health
(2009)
&
Law on the Change of a Name, Surname and Ethnicity Entry
(2009)","(Admin)
Competent authority",✗,"✓
(citizen or non- citizen or stateless person whose status was granted by Latvia)",,,,,,,,"✓
",Name change (documents affected unknown),Unclear,Unclear
34,Liechtenstein,No specific legislation or procedure regulating gender recognition,"(Admin and court)
Principality of Liechtenstein and court",,,,,,,,,,"✓
(gender reassignment surgery)",Amended records in the official registers,Unclear,"(Apparently) for all legal purposes
(following amendment of records in the official registers)"
35,Luxembourg,Court decisions,"(Judicial)
Court",✗,,✗,,"✓
(discrepancy between psychological experience & biological sex)",,,,,"✓
",Official records of civil status & rectified birth certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of rectified birth certificate)"
36,Malta,"Gender Identity, Gender Expression and Sex Characteristics Act 
(passed on 1.4.2015)","(Admin)
Director for Public Registry",✗,Citizens,"✗
",✗,✗,✗,,✗,✗,✗,Entry of note in the act of birth and/or full certificate of the act of birth without showing the annotations issued and/or ID card and/or other identification documents ,"✓
(final decision by a competent foreign court or responsible authority)","Expressly
for all legal purposes
(at the date of entry of the note in the act of birth)"
37,Moldova,Court decisions ,"(Admin and judicial)
Registry Office and court",,,"✓
",,"✓
(transsexualism)",,,,,"✗
(according to court decisions)",Amended legal documents ,Unclear,"(Apparently) for all legal purposes
(following amendment of official documents)"
38,Netherlands,"Staatsblad van het Koninkrijk der Nederlanden 2014, 1
(took effect on 01.07.2014)","(Admin)
Civil Registry","✓
(16 yrs)",Person of Dutch nationality or person with valid residence permit and domiciling in the Netherlands for at least 1 year,✗,,"✓
(permanent conviction to belong to another gender)",,"✓
(permanent conviction to belong to another gender)","✗
","✗
","✗
","Birth certificate, passport & other official documents",Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
39,Norway ,Law Amending the Legal Status (2016),"(Admin)

Tax Office (National Population Register)","✓
(16 yrs, and for those aged between 6 and 16, parental permission is necessary)",✓ (residing in Norway under the National Registry Law),,,✗,,,,,"✗
", New gender entry in the National Registry,Unclear,"(Apparently) for all legal purposes
 following registration of new legal gender in the National Registry save for necessity for establishing parenthood and custody in which birth gender is assumed)"
40,Poland,"Civil Code, Article 189","(Judicial)
Civil court",,"✓
(Polish national)
","
",,"✓
(confirming that he/she is a transsexual or intersex)",,,"✓
(having undergone hormonal therapy resulting in predominant and irreversible features )",,,"birth certificate (with gender change information appended), new ID and Personal Identification Number, new passport",Unclear ,"(Apparently) for all legal purposes
(following appending gender change information to birth certificate)"
41,Portugal,"Gender Identity Law 
(2011)","(Admin)
Civil Registry Office","✓
(18 yrs)","✓
(Portugu-ese nationality)
",✗,,"✓
(GID)",,,,,✗,New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
42,Romania,"Article 44 of Law 119/1996
(1996)","(Judicial)
Court","✓
(not available for minors i.e. below 18 yrs)","✓
(birth registered in Romania)",✗,,"✓
(forensic medical certificate stating his/her sex)",,,,,"Unclear
(subject to court decision)",Amended birth certificate & ID card,Unclear,"(Apparently) for all legal purposes
(following amendment of birth certificate and ID card)"
43,Russian Federation,Federal Law No 143 FZ on Civil Status Acts (1997),"(Admin and court)
Civil Status Registration bodies or court ",,"✓
(birth registered in Russian Federation)","
",,"✓
(transsexualism under ICD-10)",,,,,"✓
",Amended Civil Status records,Unclear,"(Apparently) for all legal purposes
(following amendment of Civil Status records)"
44,Serbia,"The Constitutional Court of the Republic of Serbia in the decision no. Už - 3238/2011 
(08.03.2012)","(Admin)
municipal government",,,,,,,,,,"✓
(according to the Constitutio-nal Court’s decision dated 8 March 2012)",	,Unclear,"(Apparently) for all legal purposes
(following amendment of birth certificate)"
45,Slovakia,No specific legislation or procedure regulating gender change,"(Admin)
Register Office","✓
(not available for minors i.e. below 18 yrs)","✓
(birth registered in Slovakia)",,,,,,"✓
",,"✓
",	,Unclear,"(Apparently) for all legal purposes
(following amendment of birth certificate and ID card)"
46,Slovenia,"The Register of Civil Status Act
Article 4","(Admin)
Ministry of Interior",,"✓
(citizen)
",,,,,,,,"✓
",New birth certificate,"✓
(foreign SRS)","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
47,Spain,"Act on the Rectification of the mention of Gender in Registries (Ley 3/2007 Rectificacion registral de la sexo de las personas)
(2007)","(Admin)
Civil Registry","✓
(18 yrs)","✓
(Spanish nationality)
",✗,,"✓
(gender dysphoria)
","✓
(2 yrs)",,,"✓
",✗,Rectification of the gender marker on the Civil Registry,✗," Expressly for all legal purposes
(following rectification of the gender marker in Civil Registry)"
48,Sweden,Gender Recognition Act (2012),"(Admin)
National Board of Health and Welfare ","✓
(18 yrs)","✓
(registered resident)",✗,,,,"✓
",,,✗,Amended records in the civil registration,"✓
(foreign gender recognition)","(Apparently) for all legal purposes
(following amendment of records in the civil registration)"
49,Switzerland,"The Civil Code
(1907)
Article 42
&
various court decisions","(Judicial)
Court","✓
(25 yrs)","✓
(resident)
",,,"✓
",,,,,"✗
(according to a few court decisions)",Amended records in the official registers,Unclear,"(Apparently) for all legal purposes
(following amendment of records in the official registers)"
50,Turkey,"The Civil Code
(2002)
Article 40","(Judicial)
Court","✓
(18 yrs)",,"✓
","✓
(infertile before applying for sex reassignment surgery)","✓
(requires medical report stating that the person needs to have a gender change operation for his/her mental health)","✓
(observan-tion by  psychiatrists of an education and research hospital for 2 yrs when real life test is being undergone)",,,,"✓
(requires permission from the court to undergo a sex reassignme-nt)","Amended gender marker on civil status register, amended birth certificate, passport and other personal documents upon application",Unclear,"(Apparently) for all legal purposes
(following amendment of gender marker on civil status register)"
51,Ukraine,"The Bases of Ukrainian Legislation on Health Protection (1992)
Article 51
&
Order No. 1041 (December 2016) issued by the Ministry of Health 
(2011)","(Admin)
Ministry of Health and Registry Office","✓
(25 yrs)",,✗,✗,"✓
(transsexualism under ICD-10)",,,"Unclear
(medical internvention, endocrinolo-gical therapy)","Unclear
(medical internvention, endocrinolo-gical therapy)",✗ ,"Amended birth certificate, new passport",Unclear,"(Apparently) for all legal purposes
(following amendment of birth certificate and passport)"
