Accounts Clerk (Full Time/Part-Time/Fresh Graduate),Central,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006012176,School Certificate,Salary negotiable
Audit Trainee,Central & Western Area,https://hk.jobsdb.com/hk/en/job/audit-trainee-100003006012164,Non-Degree Tertiary,Salary provided
Account Officer / Account Clerk,Kwun Tong,https://hk.jobsdb.com/hk/en/job/account-officer-account-clerk-100003006011956,Postgraduate,Salary provided
"Assistant Manager, Finance",Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-manager-finance-100003006012046,null,Salary negotiable
Assistant Accountant (Management Reporting) (Ref: F-ACAG-201803),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/assistant-accountant-100003006012153,null,Salary provided
Senior Associate / Associate – Audit & Assurance,Central & Western Area,https://hk.jobsdb.com/hk/en/job/senior-associate-associate-audit-assurance-100003006010746,Degree,Salary provided
Senior Audit Manager / Audit Manager,Central & Western Area,https://hk.jobsdb.com/hk/en/job/senior-audit-manager-audit-manager-100003006010435,Degree,Salary provided
Accounts Officer/Accountant,Hung Hom,https://hk.jobsdb.com/hk/en/job/accounts-officer-accountant-100003006010202,Non-Degree Tertiary,Salary negotiable
Senior Account Clerk,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/senior-account-clerk-100003006009941,Degree,Salary negotiable
"Sr Project Manager / Project Manager (Productivity & Service Quality ), Retail banking group x 3",Kwun Tong,https://hk.jobsdb.com/hk/en/job/sr-project-manager-project-manager-retail-banking-group-100003006009302,Degree,Salary provided
Assistant Tax Manager (Ref: ATM-GFN),Kowloon Bay,https://hk.jobsdb.com/hk/en/job/assistant-tax-manager-100003006009373,Degree,Salary provided
Costing Officer,Shatin Area,https://hk.jobsdb.com/hk/en/job/costing-officer-100003006009226,Degree,Salary provided
Accountant / Assistant Accountant,Wan Chai,https://hk.jobsdb.com/hk/en/job/accountant-assistant-accountant-100003006009135,Degree,Salary provided
COMPANY SECRETARIAL & ADMIN. CLERK/ACCOUNTS CLERK,Wan Chai,https://hk.jobsdb.com/hk/en/job/company-secretarial-admin-clerk-accounts-clerk-100003006005955,School Certificate,Salary negotiable
ACCOUNTING SENIOR/ACCOUNTS CLERK,Wan Chai,https://hk.jobsdb.com/hk/en/job/accounting-senior-accounts-clerk-100003006005958,Non-Degree Tertiary,Salary negotiable
Unit Manager / Business Development Manager (5天工作),Mong Kok,https://hk.jobsdb.com/hk/en/job/unit-manager-business-development-manager-100003006000865,School Certificate,"HK$30,000 - 35,000 /month (includes high commission)"
Junior Accounts Clerk,Kwai Hing,https://hk.jobsdb.com/hk/en/job/junior-accounts-clerk-100003006000279,School Certificate,Salary negotiable
AIA 2018 Summer Internship Program,Central,https://hk.jobsdb.com/hk/en/job/aia-2018-summer-internship-program-100003006012151,Degree,Salary provided
Accounts Clerk,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006012144,Non-Degree Tertiary,Salary provided
AUDITOR / ACCOUNTS / SECRETARIAL STAFF (5 DAYS WORK),Mong Kok,https://hk.jobsdb.com/hk/en/job/auditor-accounts-secretarial-staff-100003006012139,(N/A),Salary negotiable
CHIEF FINANCIAL OFFICER,Location not specified,https://hk.jobsdb.com/hk/en/job/chief-financial-officer-100003006012136,Degree,Salary provided
Graduate Trainee Programme,Central & Western Area,https://hk.jobsdb.com/hk/en/job/graduate-trainee-programme-100003006012130,Degree,"HK$14,000 - 20,000 /month (negotiable)"
Assistant Accountant / Accountant,Quarry Bay,https://hk.jobsdb.com/hk/en/job/assistant-accountant-accountant-100003006012118,null,Salary negotiable
Assistant Accountant/Accountant,Wan Chai,https://hk.jobsdb.com/hk/en/job/assistant-accountant-accountant-100003006012110,Degree,Salary provided
Financial Accountant,Wan Chai,https://hk.jobsdb.com/hk/en/job/financial-accountant-100003006012111,Degree,Salary provided
Assistant Fund Accountant / Fund Accountant,Wan Chai,https://hk.jobsdb.com/hk/en/job/assistant-fund-accountant-fund-accountant-100003006012109,Degree,Salary provided
"Accountant(Retail,up to 30K)",Location not specified,https://hk.jobsdb.com/hk/en/job/accountant-100003006012072,Degree,Salary negotiable
Accounting Officer (Account Payable) x 1 / Accounting Officer (Full Set A/C) x 2,Sheung Wan,https://hk.jobsdb.com/hk/en/job/accounting-officer-accounting-officer-100003006009534,Non-Degree Tertiary,Salary provided
Auditor Junior/Senior,Wan Chai,https://hk.jobsdb.com/hk/en/job/auditor-junior-senior-100003006012070,Degree,Salary negotiable
Finanical Controller - Travelling opportunities across APAC,Location not specified,https://hk.jobsdb.com/hk/en/job/finanical-controller-across-apac-100003006012066,Degree,Salary negotiable
Auditors (all grade),Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/auditors-100003006012063,Non-Degree Tertiary,Salary provided
Private Wealth Management/2018 Internship (Personal Financing) (IANG welcome),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/private-wealth-management-2018-internship-100003006012062,Degree,"HK$20,000 - 55,000 /month (includes high commission)"
"Finance Manager (~$650k) , leadership exp. is a must@Tung Chung",Location not specified,https://hk.jobsdb.com/hk/en/job/finance-manager-leadership-exp-is-a-must-tung-chung-100003006012054,Degree,Salary provided
Senior and Junior Auditor,Central,https://hk.jobsdb.com/hk/en/job/senior-and-junior-auditor-100003006012051,Degree,Salary negotiable
Project Cost Control Manager,Yau Tsim Mong Area,https://hk.jobsdb.com/hk/en/job/project-cost-control-manager-100003006012048,Degree,Salary provided
Account Trainee,Cheung Sha Wan,https://hk.jobsdb.com/hk/en/job/account-trainee-100003006012036,School Certificate,Salary provided
Part-time Professional Accountancy Trainer,Wan Chai,https://hk.jobsdb.com/hk/en/job/part-time-professional-accountancy-trainer-100003006012037,(N/A),Salary provided
