Manager (Board Relations) [REF: PHRM/M(BR)/SCMP],Sheung Wan,https://hk.jobsdb.com/hk/en/job/manager-100003006012175,null,Salary provided
Accounts Clerk (Full Time/Part-Time/Fresh Graduate),Central,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006012176,School Certificate,Salary negotiable
Customer Service & Administration Executive / Officer,Kwun Tong,https://hk.jobsdb.com/hk/en/job/customer-service-administration-executive-officer-100003006012169,Matriculated,Salary negotiable
Senior Human Resources Officer (Generalist) - Luxury Brand (HL18018),Others,https://hk.jobsdb.com/hk/en/job/senior-human-resources-officer-luxury-brand-100003006012087,Degree,"HK$25,000 - 30,000 /month"
"Buyer Assistant/Planner (Fresh Food/Japanese speaking/No experience in needed) @HKD 18,000",Tai Po Area,https://hk.jobsdb.com/hk/en/job/buyer-assistant-planner-100003006011870,Degree,Salary provided
Beauty Advisor Recruiter (No experience required),Central & Western Area,https://hk.jobsdb.com/hk/en/job/beauty-advisor-recruiter-100003006011891,(N/A),Salary provided
General Affairs Officer (Japanese Speaking),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/general-affairs-officer-100003006010765,Degree,Salary provided
Customer Service Coordinator / Customer Service Assistant,Hung Hom,https://hk.jobsdb.com/hk/en/job/customer-service-coordinator-customer-service-assistant-100003006010092,Non-Degree Tertiary,Salary negotiable
Senior Account Clerk,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/senior-account-clerk-100003006009941,Degree,Salary negotiable
Human Resources Officer,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/human-resources-officer-100003006009943,Degree,Salary provided
Human Resources Manager,Tuen Mun Area,https://hk.jobsdb.com/hk/en/job/human-resources-manager-100003006009944,Degree,Salary provided
Marketing Assistant (Hung Hom),Others,https://hk.jobsdb.com/hk/en/job/marketing-assistant-100003006009188,Non-Degree Tertiary,Salary provided
Assistant Project Toy Engineer / 3 months Part-Time Clerk,Sheung Wan,https://hk.jobsdb.com/hk/en/job/assistant-project-toy-engineer-part-time-clerk-100003006008620,Non-Degree Tertiary,Salary negotiable
