Wealth management and Protection Manager/ Financial Planner,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/wealth-management-and-protection-manager-financial-planner-100003006012121,Degree,Full Time,"HK$14,000 - 30,000 /month (includes high commission)"
Business Development Officer (Part-time),Quarry Bay,https://hk.jobsdb.com/hk/en/job/business-development-officer-100003006012119,null,Entry Level,HK$75 - 89 /hour
Assistant Sales Manager,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/assistant-sales-manager-100003006012092,Postgraduate,Middle,Salary negotiable
Full Time / Part Time Admin Assistant / Receptionist,Shatin Area,https://hk.jobsdb.com/hk/en/job/full-time-part-time-admin-assistant-receptionist-100003006012084,School Certificate,Entry Level,Salary negotiable
TEAM MANAGER (AFP/CFP),Kwun Tong,https://hk.jobsdb.com/hk/en/job/team-manager-100003006012076,Postgraduate,Middle,Base salary + high commission
Account Manager  - Global Fintech Startup,Sai Ying Pun,https://hk.jobsdb.com/hk/en/job/account-manager-global-fintech-startup-100003006012073,Degree,Middle level,Salary negotiable
Software Customer Service (IT Support),Causeway Bay,https://hk.jobsdb.com/hk/en/job/software-customer-service-100003006012071,Degree,Entry Level,Salary provided
Senior Brand Executive,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-brand-executive-100003006012067,Degree,Middle level,Salary negotiable
Graduate Trainee,Others,https://hk.jobsdb.com/hk/en/job/graduate-trainee-100003006012060,Degree,Entry Level,Salary provided
Sales Manager - Catering,Mong Kok,https://hk.jobsdb.com/hk/en/job/sales-manager-catering-100003006012044,Non-Degree Tertiary,Middle level,Salary provided
Wealth management and Protection Manager/ Financial Planner,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/wealth-management-and-protection-manager-financial-planner-100003006012035,Degree,Full Time,"HK$14,000 - 30,000 /month (includes high commission)"
Account Manager / Sales Executive (Corporate Sales / B2B / Tender),Location not specified,https://hk.jobsdb.com/hk/en/job/account-manager-sales-executive-100003006012030,Degree,Middle,Salary provided
Customer Service Executive / Customer Service Officer,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/customer-service-executive-customer-service-officer-100003006012031,School Certificate,Entry Level,Salary negotiable
Overseas Education Consultant,Wan Chai,https://hk.jobsdb.com/hk/en/job/overseas-education-consultant-100003006012029,Degree,Entry Level,Base salary + high commission
Financial Planning Consultant,Kwun Tong,https://hk.jobsdb.com/hk/en/job/financial-planning-consultant-100003006012028,Matriculated,Entry Level,Base salary + high commission
Club Officer,Fanling,https://hk.jobsdb.com/hk/en/job/club-officer-100003006012020,Non-Degree Tertiary,Entry Level,Salary negotiable
Part-time Sales Associate (Part-time Jet Setter),Others,https://hk.jobsdb.com/hk/en/job/part-time-sales-associate-100003006012018,null,Entry Level,Salary provided
Sales Associate / Senior Sales Associate (Jet Setter),Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-senior-sales-associate-100003006012016,null,Entry Level,Salary negotiable
Part Time Event Helper (Temporary),Location not specified,https://hk.jobsdb.com/hk/en/job/part-time-event-helper-100003006012014,School Certificate,Entry Level,Salary negotiable
Wealth management and Protection Manager/ Financial Planner,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/wealth-management-and-protection-manager-financial-planner-100003006012012,Degree,Full Time,"HK$14,000 - 30,000 /month (includes high commission)"
Sales Coordinator / Sales Administrator (5 day),Location not specified,https://hk.jobsdb.com/hk/en/job/sales-coordinator-sales-administrator-100003006012009,Matriculated,Entry Level,Salary provided
Telemarketing Executive (Part Time),Wan Chai,https://hk.jobsdb.com/hk/en/job/telemarketing-executive-100003006012008,null,null,Salary provided
"Telemarketer (3 months contract, start immediate)",Wan Chai,https://hk.jobsdb.com/hk/en/job/telemarketer-100003006012007,null,null,Salary provided
Sales Manager / Executive (Digital Media),Wan Chai,https://hk.jobsdb.com/hk/en/job/sales-manager-executive-100003006012006,null,null,Base salary + high commission
Sales Associate,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/sales-associate-100003006012005,null,Full Time,Base salary + high commission
Senior Sales,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/senior-sales-100003006012003,null,Full Time,Base salary + high commission
Customer Support Manager,Wan Chai,https://hk.jobsdb.com/hk/en/job/customer-support-manager-100003006012002,Degree,Middle level,Salary provided
Sales Associate for HOMME PLISSÉ ISSEY MIYAKE shop,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-for-homme-pliss%c3%a9-issey-miyake-shop-100003006012001,Non-Degree Tertiary,Entry Level,Base salary + high commission
Part-time Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/part-time-sales-associate-100003006012000,Non-Degree Tertiary,Entry Level,Salary provided
Marketing Executive / Life Style Promoter / Sales,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/marketing-executive-life-style-promoter-sales-100003006011994,Matriculated,Entry Level,Base salary + high commission
Sales & Event Marketing Management Trainee (Immediate Starter Preferred),Wan Chai,https://hk.jobsdb.com/hk/en/job/sales-event-marketing-management-trainee-100003006011993,null,Entry Level,Salary negotiable
Senior Account Manager APAC - Travel Retail,Central,https://hk.jobsdb.com/hk/en/job/senior-account-manager-apac-travel-retail-100003006011991,Degree,Senior level,Salary provided
Telesales (Named Accounts),Central,https://hk.jobsdb.com/hk/en/job/telesales-100003006011989,Degree,Entry Level,Salary negotiable
Sales Administration Coordinator,Quarry Bay,https://hk.jobsdb.com/hk/en/job/sales-administration-coordinator-100003006011986,Degree,Entry Level,Salary negotiable
Online Operation Coordinator (Stationed in Zhuhai),Others - China,https://hk.jobsdb.com/hk/en/job/online-operation-coordinator-100003006011980,Degree,Entry Level,Salary provided
Account Executive / Manager [IT products and solution / B2B Sales],Location not specified,https://hk.jobsdb.com/hk/en/job/account-executive-manager-100003006011976,Non-Degree Tertiary,Middle level,Base salary + high commission
"Telemarketing Advisor (Life Insurance, sales/service 15-25k)",Location not specified,https://hk.jobsdb.com/hk/en/job/telemarketing-advisor-100003006011973,Degree,Middle level,"HK$17,000 - 20,000 /month (includes high commission)"
